,composition,type,cell,positions,numbers
654,Sc2FeSi,inverse,"[[3.12677314, 3.12677314, 0.0], [-3.12677314, 3.12677314, -0.0], [-0.0, -0.0, 6.25447539]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[21, 21, 21, 21, 26, 26, 14, 14]"
4474,Ti2AgTl,full,"[[2.99353062, 2.99353062, -0.0], [-2.99353062, 2.99353062, -0.0], [-0.0, -0.0, 8.36980264]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[22, 22, 22, 22, 47, 47, 81, 81]"
4648,TiHfTl,half,"[[2.9350788, 2.9350788, -0.0], [-2.9350788, 2.9350788, -0.0], [-0.0, -0.0, 8.6036456]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[22, 22, 72, 72, 81, 81]"
5213,V2ScGe,full,"[[2.68908899, 2.68908899, 0.0], [-2.68908899, 2.68908899, -0.0], [0.0, 0.0, 8.76325533]]","[[0.4999999999999999, 4.128621361188781e-17, 0.25], [0.9999999999999998, 0.4999999999999998, 0.75], [0.4999999999999999, 4.128621361188781e-17, 0.75], [0.9999999999999998, 0.4999999999999998, 0.25], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]","[23, 23, 23, 23, 21, 21, 32, 32]"
6267,V2CuGa,inverse,"[[2.6050695, 2.6050695, -0.0], [-2.6050695, 2.6050695, -0.0], [-0.0, -0.0, 7.95543536]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[23, 23, 23, 23, 29, 29, 31, 31]"
6594,V2YIn,full,"[[2.97192114, 2.97192114, 0.0], [-2.97192114, 2.97192114, -0.0], [0.0, 0.0, 8.87927478]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[23, 23, 23, 23, 39, 39, 49, 49]"
6608,VYSb,half,"[[0.0, 3.37957327, 3.37957327], [3.37957327, 0.0, 3.37957327], [3.37957327, 3.37957327, -0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[23, 39, 51]"
7891,V2PtBi,full,"[[2.81512646, 2.81512646, 0.0], [-2.81512646, 2.81512646, 0.0], [0.0, 0.0, 8.42379091]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[23, 23, 23, 23, 78, 78, 83, 83]"
8391,Cr3Ge,full,"[[2.93353334, 2.93353334, 0.0], [-2.93353334, 2.93353334, 0.0], [-0.0, -0.0, 5.85432977]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[24, 24, 24, 24, 24, 24, 32, 32]"
8734,Cr2FeBi,inverse,"[[2.81931874, 2.81931874, -0.0], [-2.81931874, 2.81931874, -0.0], [-0.0, -0.0, 7.89067659]]","[[0.4999999999999999, 3.9379124072546565e-17, 0.25], [0.9999999999999999, 0.49999999999999983, 0.75], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.4999999999999999, 3.9379124072546565e-17, 0.75], [0.9999999999999999, 0.49999999999999983, 0.25], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]","[24, 24, 24, 24, 26, 26, 83, 83]"
